#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Bartonella tribocorum CIP 105476,Bacteria;Proteobacteria;Alphaproteobacteria,type strain:506 = CIP 105476,SAMEA3138339,PRJNA28109,GCA_000196435.1,Complete,2.6424,38.8655,chromosome:NC_010161.1/AM260525.1; plasmid pBT01:NC_010160.1/AM260524.1,,2,2096,2007-11-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/435/GCA_000196435.1_ASM19643v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/435/GCF_000196435.1_ASM19643v1
Basfia succiniciproducens,Bacteria;Proteobacteria;Gammaproteobacteria,JF4016,SAMN04536521,PRJNA283783,GCA_011455875.1,Complete,2.25319,42.4,chromosome:NZ_CP015031.1/CP015031.1,,1,2004,2020-03-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/455/875/GCA_011455875.1_ASM1145587v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/455/875/GCF_011455875.1_ASM1145587v1
Basilea psittacipulmonis DSM 24701,Bacteria;Proteobacteria;Betaproteobacteria,DSM 24701,SAMN02940631,PRJNA256137,GCA_000743945.1,Complete,1.95907,40.3,chromosome:NZ_CP009238.1/CP009238.1,,1,1643,2014-08-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/743/945/GCA_000743945.1_ASM74394v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/743/945/GCF_000743945.1_ASM74394v1
Bathymodiolus thermophilus thioautotrophic gill symbiont,Bacteria;Proteobacteria;Gammaproteobacteria,EPR9N,SAMN07956337,PRJNA416436,GCA_003711265.1,Complete,2.83269,38.6,chromosome:NZ_CP024634.1/CP024634.1,,1,2156,2018-11-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/711/265/GCA_003711265.1_ASM371126v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/711/265/GCF_003711265.1_ASM371126v1
Bdellovibrio bacteriovorus,Bacteria;Proteobacteria;Oligoflexia,109J,SAMN02743506,PRJNA246120,GCA_000691605.1,Complete,3.83043,50.7,chromosome:NZ_CP007656.1/CP007656.1,,1,3606,2014-05-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/691/605/GCA_000691605.1_ASM69160v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/691/605/GCF_000691605.1_ASM69160v1
Beggiatoa leptomitoformis,Bacteria;Proteobacteria;Gammaproteobacteria,D-402,SAMN03988806,PRJNA292821,GCA_001305575.3,Complete,4.26532,40.5,chromosome:NZ_CP012373.2/CP012373.2,,1,3503,2015-10-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/305/575/GCA_001305575.3_ASM130557v3,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/305/575/GCF_001305575.3_ASM130557v3
Beijerinckia indica subsp. indica ATCC 9039,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 9039,SAMN02598441,PRJNA20841,GCA_000019845.1,Complete,4.41862,57.0207,chromosome:NC_010581.1/CP001016.1; plasmid pBIND01:NC_010580.1/CP001017.1; plasmid pBIND02:NC_010578.1/CP001018.1,,3,3779,2008-04-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/845/GCA_000019845.1_ASM1984v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/845/GCF_000019845.1_ASM1984v1
Belliella baltica DSM 15883,Bacteria;FCB group;Bacteroidetes/Chlorobi group,DSM 15883,SAMN02232009,PRJNA50619,GCA_000265405.1,Complete,4.1966,36.8,chromosome:NC_018010.1/CP003281.1,,1,3642,2012-06-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/405/GCA_000265405.1_ASM26540v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/265/405/GCF_000265405.1_ASM26540v1
Bermanella marisrubri,Bacteria;Proteobacteria;Gammaproteobacteria,RED65,SAMN14559901,PRJNA622823,GCA_012295615.1,Complete,3.55039,43.9537,chromosome:NZ_CP051183.1/CP051183.1; plasmid pBma45:NZ_CP051184.1/CP051184.1,,2,3226,2020-04-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/295/615/GCA_012295615.1_ASM1229561v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/295/615/GCF_012295615.1_ASM1229561v1
Bernardetia litoralis DSM 6794,Bacteria;FCB group;Bacteroidetes/Chlorobi group,DSM 6794,SAMN02261370,PRJNA51775,GCA_000265505.1,Complete,4.91934,30.7,chromosome:NC_018018.1/CP003345.1,,1,3968,2012-06-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/265/505/GCA_000265505.1_ASM26550v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/265/505/GCF_000265505.1_ASM26550v1
Berryella intestinalis,Bacteria;Terrabacteria group;Actinobacteria,1968-01-03,SAMN02951405,PRJNA257396,GCA_000814825.1,Complete,1.96709,63.6,chromosome:NZ_CP009302.1/CP009302.1,,1,1660,2015-01-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/814/825/GCA_000814825.1_ASM81482v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/825/GCF_000814825.1_ASM81482v1
Beutenbergia cavernae DSM 12333,Bacteria;Terrabacteria group;Actinobacteria,DSM 12333,SAMN02598436,PRJNA20827,GCA_000023105.1,Complete,4.66918,73.1,chromosome:NC_012669.1/CP001618.1,,1,4181,2009-05-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/105/GCA_000023105.1_ASM2310v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/105/GCF_000023105.1_ASM2310v1
Bibersteinia trehalosi USDA-ARS-USMARC-188,Bacteria;Proteobacteria;Gammaproteobacteria,USDA-ARS-USMARC-188,SAMN03081509,PRJNA182311,GCA_000521725.1,Complete,2.34097,41,chromosome:NZ_CP006954.1/CP006954.1,,1,2047,2014-01-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/521/725/GCA_000521725.1_ASM52172v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/725/GCF_000521725.1_ASM52172v1
Bifidobacterium longum subsp. longum JCM 1217,Bacteria;Terrabacteria group;Actinobacteria,JCM 1217,SAMD00060951,PRJDA32047,GCA_000196555.1,Complete,2.38516,60.3,chromosome:NC_015067.1/AP010888.1,,1,1873,2011-01-28T23:09:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/555/GCA_000196555.1_ASM19655v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/555/GCF_000196555.1_ASM19655v1
Bisgaardia hudsonensis,Bacteria;Proteobacteria;Gammaproteobacteria,M327/99/2,SAMN04539621,PRJNA283783,GCA_013377195.1,Complete,2.12564,33.7,chromosome:NZ_CP016605.1/CP016605.1,,1,1869,2020-06-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/377/195/GCA_013377195.1_ASM1337719v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/377/195/GCF_013377195.1_ASM1337719v1
Blastochloris viridis,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 19567,SAMN04123293,PRJNA297399,GCA_001402875.1,Complete,3.72484,67.9,chromosome:NZ_CP012946.1/CP012946.1,,1,3226,2015-10-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/402/875/GCA_001402875.1_ASM140287v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/402/875/GCF_001402875.1_ASM140287v1
Blastomonas fulva,Bacteria;Proteobacteria;Alphaproteobacteria,T2,SAMN06473103,PRJNA377807,GCA_003431825.1,Complete,4.12321,64.1727,chromosome:NZ_CP020083.1/CP020083.1; plasmid unnamed:NZ_CP020084.1/CP020084.1,,2,3802,2017-08-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/431/825/GCA_003431825.1_ASM343182v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/431/825/GCF_003431825.1_ASM343182v1
Blattabacterium punctulatus,Bacteria;FCB group;Bacteroidetes/Chlorobi group,CPUml,SAMN09356176,PRJNA474610,GCA_003226695.1,Complete,0.615935,24.1328,chromosome:NZ_CP029808.1/CP029808.1; plasmid pCPUml:NZ_CP029809.1/CP029809.1,,2,545,2018-06-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/226/695/GCA_003226695.1_ASM322669v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/226/695/GCF_003226695.1_ASM322669v1
Blautia hansenii DSM 20583,Bacteria;Terrabacteria group;Firmicutes,DSM 20583,SAMN07340700,PRJNA393727,GCA_002222595.2,Complete,3.06595,39,chromosome:NZ_CP022413.2/CP022413.2,,1,2893,2017-07-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/222/595/GCA_002222595.2_ASM222259v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/595/GCF_002222595.2_ASM222259v2
Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri,Bacteria;Proteobacteria;Gammaproteobacteria,675,SAMN02808313,PRJNA249056,GCA_000973505.1,Complete,0.749321,29.1,chromosome:NZ_CP010048.1/CP010048.1,,1,587,2015-04-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/973/505/GCA_000973505.1_ASM97350v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/505/GCF_000973505.1_ASM97350v1
Bombilactobacillus bombi,Bacteria;Terrabacteria group;Firmicutes,BI-2.5,SAMN09629875,PRJNA480015,GCA_003522965.1,Complete,1.84208,34.7,chromosome:NZ_CP031513.1/CP031513.1,,1,1680,2018-09-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/522/965/GCA_003522965.1_ASM352296v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/522/965/GCF_003522965.1_ASM352296v1
Bordetella bronchiseptica,Bacteria;Proteobacteria;Betaproteobacteria,NCTC10543,SAMEA3893452,PRJEB6403,GCA_900636925.1,Complete,5.19976,68.3,chromosome 1:NZ_LR134326.1/LR134326.1,,1,4768,2018-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/925/GCA_900636925.1_45137_F01,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/925/GCF_900636925.1_45137_F01
Borrelia recurrentis A1,Bacteria;Spirochaetes;Spirochaetia,A1,SAMN02603586,PRJNA18233,GCA_000019705.1,Complete,1.24216,27.5118,chromosome:NC_011244.1/CP000993.1; plasmid pl6:NC_011263.1/CP001000.1; plasmid pl23:NC_011252.1/CP000995.1; plasmid pl33:NC_011253.1/CP000996.1; plasmid pl35:NC_011255.1/CP000997.1; plasmid pl37:NC_011258.1/CP000998.1; plasmid pl53:NC_011260.1/CP000999.1; plasmid pl124:NC_011246.1/CP000994.1,,8,1032,2008-09-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/705/GCA_000019705.1_ASM1970v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/705/GCF_000019705.1_ASM1970v1
Borreliella afzelii Tom3107,Bacteria;Spirochaetes;Spirochaetia,Tom3107,SAMN02378865,PRJNA218503,GCA_000741005.1,Complete,0.987652,28.1628,chromosome:NZ_CP009212.1/CP009212.1; plasmid cp26:NZ_CP009213.1/CP009213.1; plasmid lp54:NZ_CP009214.1/CP009214.1,,3,905,2014-08-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/741/005/GCA_000741005.1_ASM74100v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/741/005/GCF_000741005.1_ASM74100v1
Bosea vaviloviae,Bacteria;Proteobacteria;Alphaproteobacteria,Vaf18,SAMN05730837,PRJNA316801,GCA_001741865.1,Complete,6.71355,65.3684,chromosome:NZ_CP017147.1/CP017147.1; plasmid unnamed1:NZ_CP017148.1/CP017148.1,,2,6161,2016-09-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/741/865/GCA_001741865.1_ASM174186v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/741/865/GCF_001741865.1_ASM174186v1
Boudabousia tangfeifanii,Bacteria;Terrabacteria group;Actinobacteria,VUL4_3,SAMN05938308,PRJNA350350,GCA_001856685.1,Complete,2.20783,51.9,chromosome:NZ_CP017812.1/CP017812.1,,1,1741,2016-10-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/856/685/GCA_001856685.1_ASM185668v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/856/685/GCF_001856685.1_ASM185668v1
Brachybacterium faecium DSM 4810,Bacteria;Terrabacteria group;Actinobacteria,DSM 4810,SAMN00002685,PRJNA17026,GCA_000023405.1,Complete,3.61499,72,chromosome:NC_013172.1/CP001643.1,,1,3069,2009-08-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/023/405/GCA_000023405.1_ASM2340v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/405/GCF_000023405.1_ASM2340v1
Brachyspira hyodysenteriae,Bacteria;Spirochaetes;Spirochaetia,Bh743-7,SAMN13511716,PRJNA594292,GCA_017751225.1,Complete,3.08516,27.0504,chromosome:NZ_CP046932.1/CP046932.1; plasmid pBh743-7x:NZ_CP046933.1/CP046933.1,,2,2631,2021-04-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/751/225/GCA_017751225.1_ASM1775122v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/751/225/GCF_017751225.1_ASM1775122v1
Bradymonas sediminis,Bacteria;Proteobacteria;delta/epsilon subdivisions,FA350,SAMN09396997,PRJNA475614,GCA_003258315.1,Complete,5.04568,61.1,chromosome:NZ_CP030032.1/CP030032.1,,1,3716,2018-06-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/258/315/GCA_003258315.1_ASM325831v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/258/315/GCF_003258315.1_ASM325831v1
Bradyrhizobium japonicum,Bacteria;Proteobacteria;Alphaproteobacteria,5038,SAMN15394813,PRJNA642409,GCA_013752735.1,Complete,9.22625,63.7,chromosome:NZ_CP058354.1/CP058354.1,,1,8344,2020-07-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/752/735/GCA_013752735.1_ASM1375273v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/752/735/GCF_013752735.1_ASM1375273v1
Bremerella volcania,Bacteria;PVC group;Planctomycetes,Pan97,SAMN10954004,PRJNA485700,GCA_007748115.1,Complete,6.49618,56.2,chromosome:NZ_CP036289.1/CP036289.1,,1,5158,2019-07-31T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/007/748/115/GCA_007748115.1_ASM774811v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/748/115/GCF_007748115.1_ASM774811v1
Brenneria goodwinii,Bacteria;Proteobacteria;Gammaproteobacteria,FRB141,SAMN04388496,PRJNA308225,GCA_002291445.1,Complete,5.36073,53.1,chromosome:NZ_CP014137.1/CP014137.1,,1,4582,2017-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/291/445/GCA_002291445.1_ASM229144v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/291/445/GCF_002291445.1_ASM229144v1
Brevibacillus brevis,Bacteria;Terrabacteria group;Firmicutes,NCTC2611,SAMEA4007825,PRJEB6403,GCA_900637055.1,Complete,6.727,47.4,chromosome 1:NZ_LR134338.1/LR134338.1,,1,6189,2018-12-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/055/GCA_900637055.1_46837_E02,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/637/055/GCF_900637055.1_46837_E02
Brevibacterium linens,Bacteria;Terrabacteria group;Actinobacteria,ATCC 19391,SAMN08162100,PRJNA421982,GCA_003999335.1,Complete,3.8143,64.7875,chromosome:NZ_CP026734.1/CP026734.1; plasmid pBLA8:NZ_CP026735.1/CP026735.1,,2,3285,2019-01-08T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/999/335/GCA_003999335.1_ASM399933v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/999/335/GCF_003999335.1_ASM399933v1
Brevilactibacter coleopterorum,Bacteria;Terrabacteria group;Actinobacteria,HDW11,SAMN14260667,PRJNA609859,GCA_011393335.1,Complete,3.6719,72.1,chromosome:NZ_CP049865.1/CP049865.1,,1,3285,2020-03-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/393/335/GCA_011393335.1_ASM1139333v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/393/335/GCF_011393335.1_ASM1139333v1
Brevundimonas subvibrioides ATCC 15264,Bacteria;Proteobacteria;Alphaproteobacteria,ATCC 15264,SAMN00007485,PRJNA36643,GCA_000144605.1,Complete,3.44526,68.4,chromosome:NC_014375.1/CP002102.1,,1,3309,2010-08-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/144/605/GCA_000144605.1_ASM14460v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/144/605/GCF_000144605.1_ASM14460v1
Breznakiella homolactica,Bacteria;Spirochaetes;Spirochaetia,RmG30,SAMN17121750,PRJNA686720,GCA_016616095.2,Complete,4.64611,52.9,chromosome:NZ_CP067089.2/CP067089.2,,1,4076,2021-01-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/616/095/GCA_016616095.2_ASM1661609v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/616/095/GCF_016616095.2_ASM1661609v2
Brochothrix thermosphacta,Bacteria;Terrabacteria group;Firmicutes,TMW 2.1564,SAMN05511621,PRJNA336488,GCA_001703515.1,Complete,2.57837,36.3979,chromosome:NZ_CP016839.1/CP016839.1; plasmid pL21564-1:NZ_CP016840.1/CP016840.1,,2,2370,2016-08-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/703/515/GCA_001703515.1_ASM170351v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/703/515/GCF_001703515.1_ASM170351v1
Brucella abortus 2308,Bacteria;Proteobacteria;Alphaproteobacteria,2308,SAMEA3138256,PRJNA16203,GCA_000054005.1,Complete,3.27831,57.2353,chromosome I:NC_007618.1/AM040264.1; chromosome II:NC_007624.1/AM040265.1,,2,2958,2005-11-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/054/005/GCA_000054005.1_ASM5400v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/054/005/GCF_000054005.1_ASM5400v1
Buchnera aphidicola str. Bp (Baizongia pistaciae),Bacteria;Proteobacteria;Gammaproteobacteria,Bp (Baizongia pistaciae),SAMN02604289,PRJNA256,GCA_000007725.1,Complete,0.618379,25.3004,chromosome:NC_004545.1/AE016826.1; plasmid pBBp1:NC_004555.1/AF492591.1,,2,513,2003-01-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/725/GCA_000007725.1_ASM772v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/725/GCF_000007725.1_ASM772v1
Burkholderia cenocepacia,Bacteria;Proteobacteria;Betaproteobacteria,MSMB384WGS,SAMN03449602,PRJNA279182,GCA_001718895.1,Complete,7.7806,67.2443,chromosome 1:NZ_CP013450.1/CP013450.1; chromosome 2:NZ_CP013452.1/CP013452.1; chromosome 3:NZ_CP013451.1/CP013451.1,,3,6945,2016-09-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/895/GCA_001718895.1_ASM171889v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/895/GCF_001718895.1_ASM171889v1
Buttiauxella agrestis,Bacteria;Proteobacteria;Gammaproteobacteria,DSM 9389,SAMD00224198,PRJDB9774,GCA_013234275.1,Complete,4.56625,50.7,chromosome:NZ_AP023184.1/AP023184.1,,1,4093,2020-05-27T23:03:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/234/275/GCA_013234275.1_ASM1323427v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/234/275/GCF_013234275.1_ASM1323427v1
Butyricimonas virosa,Bacteria;FCB group;Bacteroidetes/Chlorobi group,FDAARGOS_1229,SAMN16357371,PRJNA231221,GCA_016889065.1,Complete,4.81314,42.4,chromosome:NZ_CP069450.1/CP069450.1,,1,3837,2021-02-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/889/065/GCA_016889065.1_ASM1688906v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/889/065/GCF_016889065.1_ASM1688906v1
Butyrivibrio proteoclasticus B316,Bacteria;Terrabacteria group;Firmicutes,B316,SAMN02602973,PRJNA29153,GCA_000145035.1,Complete,4.40489,39.999,chromosome 1:NC_014387.1/CP001810.1; chromosome 2:NC_014388.1/CP001811.1; plasmid pCY186:NC_014390.1/CP001813.1; plasmid pCY360:NC_014389.1/CP001812.1,,4,3809,2010-08-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/145/035/GCA_000145035.1_ASM14503v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/145/035/GCF_000145035.1_ASM14503v1
Caballeronia insecticola,Bacteria;Proteobacteria;Betaproteobacteria,RPE64,SAMD00012854,PRJDB1103,GCA_000402035.1,Complete,6.96449,63.1457,chromosome 1:NC_021287.1/AP013058.1; chromosome 2:NC_021294.1/AP013059.1; chromosome 3:NC_021288.1/AP013060.1; plasmid p1:NC_021289.1/AP013061.1; plasmid p2:NC_021295.1/AP013062.1,,5,6266,2013-05-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/402/035/GCA_000402035.1_ASM40203v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/402/035/GCF_000402035.1_ASM40203v1
Caldalkalibacillus thermarum TA2.A1,Bacteria;Terrabacteria group;Firmicutes,TA2.A1,SAMN15595112,PRJNA638815,GCA_019856495.1,Complete,3.34491,47.6,chromosome:NZ_CP082237.1/CP082237.1,,1,3085,2021-09-02T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/856/495/GCA_019856495.1_ASM1985649v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/856/495/GCF_019856495.1_ASM1985649v1
Caldanaerobacter subterraneus subsp. tengcongensis MB4,Bacteria;Terrabacteria group;Firmicutes,MB4,SAMN02603009,PRJNA249,GCA_000007085.1,Complete,2.68945,37.6,chromosome:NC_003869.1/AE008691.1,,1,2546,2001-10-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/085/GCA_000007085.1_ASM708v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/085/GCF_000007085.1_ASM708v1
Caldibacillus thermoamylovorans,Bacteria;Terrabacteria group;Firmicutes,SSBM,SAMN07665164,PRJNA407857,GCA_003096215.1,Complete,4.01617,37.5,chromosome:NZ_CP023704.1/CP023704.1,,1,3645,2018-05-07T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/096/215/GCA_003096215.1_ASM309621v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/096/215/GCF_003096215.1_ASM309621v1
Caldicellulosiruptor saccharolyticus DSM 8903,Bacteria;Terrabacteria group;Firmicutes,DSM 8903,SAMN00623033,PRJNA13466,GCA_000016545.1,Complete,2.97027,35.3,chromosome:NC_009437.1/CP000679.1,,1,2706,2007-04-19T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/545/GCA_000016545.1_ASM1654v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/545/GCF_000016545.1_ASM1654v1
Caldichromatium japonicum,Bacteria;Proteobacteria;Gammaproteobacteria,No.7,SAMN13885595,PRJNA602199,GCA_011290485.1,Complete,2.98987,61.2,chromosome:NZ_CP048029.1/CP048029.1,,1,2752,2020-03-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/290/485/GCA_011290485.1_ASM1129048v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/290/485/GCF_011290485.1_ASM1129048v1
Caldilinea aerophila DSM 14535 = NBRC 104270,Bacteria;Terrabacteria group;Chloroflexi,DSM 14535,SAMD00061033,PRJDB47,GCA_000281175.1,Complete,5.14487,58.8,chromosome:NC_017079.1/AP012337.1,,1,4058,2012-03-28T23:07:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/281/175/GCA_000281175.1_ASM28117v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/175/GCF_000281175.1_ASM28117v1
Caldimicrobium thiodismutans,Bacteria;Thermodesulfobacteria;Thermodesulfobacteria,TF1,SAMD00039083,PRJDB4154,GCA_001548275.1,Complete,1.81495,38.3,chromosome Unknown:NZ_AP014945.1/AP014945.1,,1,1768,2016-01-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/548/275/GCA_001548275.1_ASM154827v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/548/275/GCF_001548275.1_ASM154827v1
Caldisericum exile AZM16c01,Bacteria;Caldiserica/Cryosericota group;Caldiserica,AZM16c01,SAMD00061110,PRJNA41615,GCA_000284335.1,Complete,1.5581,35.4,chromosome:NC_017096.1/AP012051.1,,1,1515,2012-03-28T23:04:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/335/GCA_000284335.1_ASM28433v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/284/335/GCF_000284335.1_ASM28433v1
Calditerrivibrio nitroreducens DSM 19672,Bacteria;Deferribacteres;Deferribacteres,DSM 19672,SAMN00102793,PRJNA49523,GCA_000183405.1,Complete,2.21655,35.6755,chromosome:NC_014758.1/CP002347.1; plasmid pCALNI01:NC_014749.1/CP002348.1,,2,2117,2010-11-30T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/183/405/GCA_000183405.1_ASM18340v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/405/GCF_000183405.1_ASM18340v1
